variance_1h_to_30m_ago,variance_last_30m,is_genuine,archetype,variance_delta,motion_ratio,sudden_stillness,prolonged_static,reverse_delta
0.09028335522183471,0.04350652441599326,0,fraud_stayed_home,-0.046776830805841454,0.48188331532184964,0,1,0
0.04204522330191507,0.04669195474989536,0,fraud_stayed_home,0.004646731447980293,1.1104910520648044,0,1,0
0.5728963305452566,0.12145581872730067,1,genuine_stranded,-0.4514405118179559,0.21200276603087811,1,0,0
0.06662982241939584,0.095580524595325,0,fraud_stayed_home,0.028950702175929155,1.4344791363028722,0,1,0
0.08466065192938053,0.019836281167262215,0,fraud_stayed_home,-0.06482437076211832,0.2343006628763682,0,1,0
0.09346399551858535,0.015299217720976716,0,fraud_stayed_home,-0.07816477779760864,0.1636892789229792,0,1,0
0.9592985097421074,0.08782161064070122,1,genuine_stranded,-0.8714768991014061,0.09154764466033208,1,0,0
0.09584760147024167,0.033835803603464866,0,fraud_stayed_home,-0.062011797866776804,0.3530130130690529,0,1,0
0.08511986350793023,0.031251170771277974,0,fraud_stayed_home,-0.053868692736652256,0.36713878928597193,0,1,0
0.8335053300593794,0.04806977790225731,1,genuine_stranded,-0.7854355521571221,0.05767176105169206,1,0,0
0.5323978381956262,0.056943943245280314,1,genuine_slow_stop,-0.47545389495034596,0.10695730185714014,1,0,0
0.04628560746820634,0.2890099108189521,0,fraud_spoof_activation,0.24272430335074577,6.243920793233101,0,0,1
0.056700600143848826,0.07138724369357251,0,fraud_stayed_home,0.014686643549723682,1.2589987498142383,0,1,0
0.09852222440270167,0.02847923956080764,0,fraud_stayed_home,-0.07004298484189403,0.28906118058420643,0,1,0
0.43762933086035294,0.09603905295390312,1,genuine_slow_stop,-0.3415902779064498,0.21945246063063445,1,0,0
0.09938214251069445,0.001,0,fraud_stayed_home,-0.09838214251069445,0.010062068623885501,0,1,0
0.5972408721532318,0.053632392310552696,1,genuine_stranded,-0.5436084798426791,0.08980012087429874,1,0,0
0.44747713751220364,0.42178723931568457,0,fraud_driving_and_claiming,-0.025689898196519068,0.942587366749692,0,0,0
0.11797778318301584,0.14782792059720362,0,fraud_spoof_activation,0.02985013741418778,1.2530042827097478,0,0,0
0.0757050964983727,0.20291426117432945,0,fraud_spoof_activation,0.12720916467595675,2.6802895745482145,0,0,1
0.6723392646506909,0.6684993299914276,0,fraud_driving_and_claiming,-0.0038399346592633554,0.994287216070186,0,0,0
0.37154774826157333,0.12608183778184698,1,genuine_slow_stop,-0.24546591047972635,0.3393413068184645,1,0,0
0.08296014491539662,0.019895270513886596,0,fraud_stayed_home,-0.06306487440151003,0.23981431951277551,0,1,0
0.6855058113201902,0.6690577497684534,0,fraud_driving_and_claiming,-0.016448061551736726,0.9760045250023728,0,0,0
0.07204356911455329,0.04141816752319694,0,fraud_stayed_home,-0.030625401591356342,0.574896456904901,0,1,0
0.7109361474501288,0.7278038734264928,0,fraud_driving_and_claiming,0.01686772597636399,1.0237246373140843,0,0,0
0.6191109005887516,0.08907937515148419,1,genuine_stranded,-0.5300315254372674,0.14388251149230555,1,0,0
0.08645691164523538,0.2773161294057717,0,fraud_spoof_activation,0.19085921776053633,3.2075275024417547,0,0,1
0.13736101740321807,0.1301113996503947,0,fraud_spoof_activation,-0.007249617752823373,0.9472152645258579,0,0,0
0.3122261092030366,0.403750953406097,0,fraud_driving_and_claiming,0.0915248442030604,1.2931322793740625,0,0,1
0.7664096927350353,0.035465951818396575,1,genuine_stranded,-0.7309437409166387,0.04627538753645484,1,0,0
0.5022809499933689,0.0947404309360242,1,genuine_slow_stop,-0.40754051905734473,0.18862001896997285,1,0,0
0.011834798983720071,0.043627970202563045,0,fraud_stayed_home,0.031793171218842974,3.6861026672193855,0,1,0
0.12015994577297973,0.06263953831420492,0,fraud_stayed_home,-0.057520407458774805,0.5212969814048394,0,0,0
0.0934810073883448,0.1725850303289711,0,fraud_spoof_activation,0.0791040229406263,1.8461844706865884,0,0,1
0.31206104787241773,0.08990351331740201,1,genuine_slow_stop,-0.22215753455501572,0.2880949924232947,0,0,0
0.03403948152075488,0.06275460984687492,0,fraud_stayed_home,0.02871512832612004,1.8435288528046436,0,1,0
0.9403707842885463,0.1040249031350144,1,genuine_stranded,-0.8363458811535318,0.11062103826702559,1,0,0
0.3857456580045991,0.031091450016270387,1,genuine_slow_stop,-0.3546542079883287,0.08060069833683355,1,0,0
0.03014583076095599,0.3375360137036222,0,fraud_spoof_activation,0.3073901829426662,11.196401252922897,0,0,1
0.06355121879477466,0.001,0,fraud_stayed_home,-0.06255121879477465,0.015735091849888666,0,1,0
0.6352621115879286,0.1101707714022592,1,genuine_stranded,-0.5250913401856694,0.1734254191572245,1,0,0
0.10491435968775227,0.23069310582752667,0,fraud_spoof_activation,0.1257787461397744,2.198849687158415,0,0,1
0.8862714100864314,0.09284856823842037,1,genuine_stranded,-0.793422841848011,0.10476301324709585,1,0,0
0.5836618336323263,0.5350668300973768,0,fraud_driving_and_claiming,-0.0485950035349495,0.9167395956454507,0,0,0
0.8514162976071297,0.054622546762287866,1,genuine_stranded,-0.7967937508448418,0.06415484735370316,1,0,0
0.043880358844139905,0.03629107655917214,0,fraud_stayed_home,-0.007589282284967767,0.8270271822728341,0,1,0
0.6046356618908901,0.15332332316559077,1,genuine_slow_stop,-0.45131233872529936,0.2535792697156342,0,0,0
0.6994733714665533,0.10576422837169508,1,genuine_stranded,-0.5937091430948582,0.15120529455560244,1,0,0
0.47495858265535695,0.14536215538105635,1,genuine_slow_stop,-0.3295964272743006,0.3060516319480913,1,0,0
0.5394180394261557,0.1969357685846297,1,genuine_slow_stop,-0.34248227084152605,0.3650886494368714,0,0,0
0.09833607742447202,0.21161583712088347,0,fraud_spoof_activation,0.11327975969641145,2.151943525913869,0,0,1
0.05814788163757673,0.04249182466275552,0,fraud_stayed_home,-0.01565605697482121,0.7307419070859074,0,1,0
0.13432409131688464,0.1594690622798823,0,fraud_spoof_activation,0.02514497096299767,1.187187447382268,0,0,0
0.37285982945661766,0.11234421290755894,1,genuine_slow_stop,-0.26051561654905875,0.3013033390267405,1,0,0
0.07421688622562071,0.27348696244641946,0,fraud_spoof_activation,0.19927007622079873,3.6849198536189136,0,0,1
0.4679455681320871,0.1688624307441029,1,genuine_slow_stop,-0.2990831373879842,0.3608583591459061,0,0,0
0.7362103504145945,0.7768993746889467,0,fraud_driving_and_claiming,0.04068902427435217,1.0552667712219308,0,0,0
0.3855410652173167,0.15339480564322974,1,genuine_slow_stop,-0.23214625957408694,0.39786788390202354,0,0,0
0.41866117966412086,0.0818390050866433,1,genuine_slow_stop,-0.33682217457747754,0.19547742562344678,1,0,0
0.6117450660057756,0.04727698481430191,1,genuine_stranded,-0.5644680811914737,0.07728204142444875,1,0,0
0.024754043915243423,0.15315120254322018,0,fraud_spoof_activation,0.12839715862797677,6.186666566521993,0,0,1
0.06730667969776549,0.06680355190584307,0,fraud_stayed_home,-0.0005031277919224225,0.9925100999739387,0,1,0
0.6725087028303216,0.11694806788232125,1,genuine_stranded,-0.5555606349480003,0.17389796368756327,1,0,0
0.8561884625514649,0.02487822199658491,1,genuine_stranded,-0.8313102405548799,0.029056912149382472,1,0,0
0.03182744400024053,0.271434031767602,0,fraud_spoof_activation,0.23960658776736146,8.528033345442546,0,0,1
0.6097395004954622,0.14564469895082918,1,genuine_slow_stop,-0.464094801544633,0.23886341621145615,1,0,0
0.6446549099554773,0.6539238949424325,0,fraud_driving_and_claiming,0.009268984986955275,1.0143766385196025,0,0,0
0.03302093947050093,0.02707374030964655,0,fraud_stayed_home,-0.005947199160854379,0.8198712959858699,0,1,0
0.6192479517149385,0.19359379472615754,1,genuine_slow_stop,-0.42565415698878095,0.31262676212857826,0,0,0
0.11605879951316961,0.004183598106757339,0,fraud_stayed_home,-0.11187520140641227,0.03604691826374054,0,1,0
0.8686410560576145,0.08777175283084622,1,genuine_stranded,-0.7808693032267683,0.10104478849343736,1,0,0
0.5596612433933708,0.18914535731813223,1,genuine_slow_stop,-0.37051588607523855,0.3379634048051859,0,0,0
0.5708634337807493,0.18472908209081257,1,genuine_slow_stop,-0.38613435168993676,0.3235953602283113,0,0,0
0.5751127111760452,0.15861637077983085,1,genuine_slow_stop,-0.4164963403962144,0.275800016062002,0,0,0
0.046114427547491885,0.13830594696696458,0,fraud_spoof_activation,0.09219151941947269,2.9991253322877784,0,0,1
0.5635245604425305,0.05961085784303298,1,genuine_stranded,-0.5039137025994975,0.10578199469110366,1,0,0
0.10265772450081424,0.33661660719973086,0,fraud_spoof_activation,0.23395888269891663,3.278986845361214,0,0,1
0.7693064841710295,0.7444993876938208,0,fraud_driving_and_claiming,-0.02480709647720869,0.9677526905851686,0,0,0
