l1_baro_score,l1_baro_available,l2_acoustic_score,l2_acoustic_available,l3_network_score,l3_network_available,l4_inertial_score,l4_inertial_available,mock_flag,claim_burst_rate,baseline_deviation,is_genuine
0.6691901784002446,1,0.3280220837871185,1,0.4058436743989265,1,0.4498891762009309,1,0,0.016731620120891525,0.2645837922480697,1
0.0,0,0.0,0,0.8878907207332888,1,0.9524312328791318,1,0,3.146652054821227,0.3770643997085957,1
0.0,0,0.7535213349294733,1,0.8029116070209288,1,0.7560903456303891,1,0,0.11503659226239445,0.19817977254750174,1
0.0,0,0.0,0,0.9237202244228309,1,0.7419009786937958,1,0,2.130241650376429,0.0284048731377735,1
0.0,0,0.0,0,0.6955990304145098,1,0.6761644258357288,1,0,0.6405974727625111,0.13254451880013832,1
0.0,0,0.0,0,0.22784323693115088,1,0.6133271059471063,1,0,0.15673021276001467,0.43292074683250065,1
0.8777248821691305,1,0.7534039991218878,1,0.5427202794957574,1,0.674497723197382,1,0,0.620925655532853,0.18234300342565174,1
0.0,0,0.0,0,0.7935440011977053,1,0.9105539346346758,1,0,0.3730510591033059,0.32579256497911957,1
0.4474079755497345,1,0.4972125033250007,1,0.6291239154547711,1,0.7580431200260077,1,0,0.8841370063579804,0.6367323098815931,1
0.7518283309320084,1,0.7815515672551109,1,0.8097083966776552,1,0.7418082323407251,1,0,2.1713701948682167,0.2139157431795193,1
0.0,0,0.0,0,0.9238352506758947,1,0.9192749071847692,1,0,0.42428103340881745,0.2863759303141081,1
0.0,0,0.19405414821307262,1,0.36134004594514335,1,0.2675666263458574,1,1,0.23279211221553525,0.8643051287697925,0
0.0,0,0.0,0,0.5332025293663817,1,0.8295254287447286,1,0,0.598142760418064,0.170488394748945,1
0.3113118071483133,1,0.5553807845967451,1,0.6681743458871621,1,0.7678220559039357,1,0,1.1895730477906379,0.437801490595056,1
0.0,0,0.5712960957826019,1,0.7953075096549758,1,0.68488642807318,1,0,0.35541046733091664,0.02556229311917575,1
0.3900551237063308,1,0.0,0,0.490088229134049,1,0.39149650447487017,1,0,1.3982786706309336,0.46921328568571247,1
0.0,0,0.7644294407055384,1,0.6244688033152159,0,0.7020281319105129,1,0,0.6288489492462378,0.28415226296894064,1
0.1892749814586021,1,0.0,0,0.1813095851548486,1,0.07807979770005538,1,1,72.5666124717558,0.7523859788510352,0
0.0,0,0.0675245114280107,1,0.18941031720848459,1,0.32046537686737636,1,0,0.00780799581428256,0.9057100163094904,0
0.12809345251947782,1,0.0032725569871148714,1,0.04810704268432486,1,0.05404878404445253,1,1,0.21631386095297125,0.6917428239757709,0
0.28203805128156567,1,0.2330890258129057,1,0.12285130286814215,1,0.1486603694671746,1,0,75.60638029830984,0.915678600628861,0
0.6749921576358866,1,0.8956864617482623,1,0.8954097923942292,1,0.7448611043336866,1,0,0.27406067949630236,0.14189350333599238,1
0.0,0,0.0,0,0.9005392609012159,1,0.7895086459294699,1,0,0.11680300447234891,0.15469170883932132,1
0.4580679154637895,1,0.1388566626266763,1,0.09305503662023606,1,0.04717616843910376,1,1,19.705333082040347,0.652856490137835,0
0.0,0,0.0,0,0.664284499475597,1,0.8651532049581705,1,0,0.842878346276296,0.14978496873653246,1
0.27459233632319335,1,0.427971083948035,1,0.13175819424145252,1,0.014754894032099872,1,0,73.64409794022764,0.8979714525607153,0
0.0,0,0.9131081653809328,1,0.9511773128209168,1,0.767001135423904,1,0,0.4527946853998175,0.3414756517788584,1
0.10353025089705623,1,0.0,0,0.1938627718044725,1,0.21815401563796868,1,0,0.21079224282894582,0.5483563839445923,0
0.32066889312377067,1,0.03079011002973979,1,0.025719011383905584,1,0.04314964075272065,1,1,0.16508143613333162,0.7424084314339988,0
0.4327822068141349,1,0.06128261217120569,1,0.08461843921414831,1,0.09527319582565139,1,1,66.46136798042565,0.6904962316933619,0
0.9129488079224176,1,0.8439665655571258,1,0.6814825205969859,1,0.9385980684090162,1,0,0.45073430538444725,0.2029691343611459,1
0.8718237886263216,1,0.0,0,0.8191574274757559,1,0.5871106214502084,1,0,3.4802329127451026,0.029205107177863322,1
0.0,0,0.0,0,0.8964359015167802,1,0.6993222694300342,1,0,0.08574534033269698,0.2217022581565786,1
0.0,0,0.0,0,0.9388873612808201,1,0.9495523796677067,1,0,0.006461049295583241,0.084074527008285,1
0.09462397864800959,1,0.1582683105881517,1,0.08607131794824503,1,0.0689921973359639,1,1,0.6361718863196929,0.9313124525773206,0
0.6116444535227636,1,0.8108382374678443,1,0.5211129907064949,1,0.8504856635742905,1,0,0.21937303477231304,0.4636858383089414,1
0.5214165720299598,1,0.6011818442946781,1,0.21295701521109514,1,0.7627231623315275,1,0,1.1415548022297384,0.46215376825714005,1
0.8523868471784767,1,0.0,0,0.912833981910602,1,0.7809250530499089,1,0,1.1295637001809131,0.2688442019881928,1
0.0,0,0.0,0,0.5934908579992968,1,0.6468758239342695,1,0,0.6676716888970967,0.14431136687165902,1
0.0,0,0.0,0,0.6336836730879167,1,0.04516451194127898,1,1,0.023703177393318654,0.8990208021656988,0
0.0,0,0.0,0,0.38411797519451013,1,0.8289010461328641,1,0,0.031772738341562155,0.3307317445139792,1
0.0,0,0.8912123679501135,1,0.9402784991230249,1,0.8127107767772958,1,0,0.21122212662354634,0.10712054490909087,1
0.0,0,0.32202298722338585,1,0.17577049346592452,1,0.2292214511312565,1,1,1.8794991177324838,0.8573217845480436,0
0.905654401295129,1,0.7428500598570221,1,0.5578312850399527,0,0.8427004744206562,1,0,0.9533663465288899,0.012583066086986148,1
0.13561979441773409,1,0.019923106638461058,1,0.15678000052696203,1,0.09853921366499217,1,0,56.467410633045574,0.9202044701768664,0
0.8978293077270274,1,0.8393806196974496,1,0.7067729765829869,1,0.5919299086651714,1,0,0.46889102682115197,0.11801962130063179,1
0.0,0,0.0,0,0.5565403456524382,1,0.5741529271224324,1,0,1.425846628423026,0.6815278850288957,1
0.6856902727948004,1,0.0,0,0.9699974934797259,1,0.4773419566233609,1,0,3.2782196584938283,0.6891385830886885,1
0.927993261707053,1,0.0,0,0.8297128784723735,1,0.7779379286502194,1,0,0.2356567044295348,0.3540356527705005,1
0.7812976244143568,1,0.9151776795803999,1,0.8014514263471971,1,0.9703083431022917,1,0,1.1978803552163033,0.3710529499574706,1
0.9751232756904034,1,0.6574155957181403,1,0.6819546188409936,1,0.7924293568419918,1,0,0.968511248111208,0.137551199970718,1
0.23819423899900713,1,0.0,0,0.19994807651050225,1,0.10952652002969888,1,1,0.07429443173723357,0.555686855735135,0
0.0,0,0.0,0,0.387640893540649,1,0.9147572200705805,1,0,0.07609911206463107,0.44436979065286536,1
0.10010429966514317,1,0.018788713544746174,1,0.1302892100717614,1,0.1747430115597286,1,1,0.8567567287070675,0.6484871975213754,0
0.0,0,0.8624461101941481,1,0.9148777736114033,1,0.6799682443069235,1,0,0.95190496656648,0.111699224777796,1
0.0,0,0.0,0,0.11457607336260732,1,0.007767464328911367,1,1,0.45348845739975346,0.5754856176627373,0
