event_id,trigger_type,pincode,start_time,duration_minutes,raw_value,threshold_value,trend,variability,sustained_event,label_trigger,source_confidence,multi_source_match
FAKE_712,rain,400001,2022-06-30 16:00:00,34,35.46733241387196,25.0,-4.574787527244569,15.88484115439339,0,0,0.3979807943738024,0
BORDER_842,rain,226001,2022-08-05 02:00:00,80,38.30826646668013,25.0,-3.1390243221709593,10.523058445784853,0,0,0.6598103234720355,1
FAKE_2497,rain,452001,2022-09-13 01:00:00,12,68.16708532257789,25.0,-9.971340877337962,25.943936133758484,0,0,0.6803700547931251,0
FAKE_3289,rain,395003,2022-10-16 01:00:00,19,61.42392445988591,25.0,-11.879691068155777,24.63236666806683,0,0,0.5485706752461994,0
FAKE_2570,rain,600001,2022-09-16 02:00:00,9,68.55832995351275,25.0,7.145756919734971,17.25298090316955,0,0,0.21442895666806228,0
FAKE_2041,rain,400001,2022-08-25 01:00:00,34,70.70405868516269,25.0,7.4770899180740145,28.40867368677708,0,0,0.4957996614583698,0
FAKE_3652,rain,462001,2022-10-31 04:00:00,21,83.33932900987229,25.0,-7.087974391649025,13.105853159352073,0,0,0.35513891788783014,0
BORDER_1072,rain,700001,2022-08-14 16:00:00,87,34.37275763147687,25.0,4.4629692043844145,9.291797864914823,0,0,0.73364673562516,0
FAKE_750,rain,380001,2022-07-02 06:00:00,6,75.4222250958602,25.0,12.996152632779186,11.637410185726807,0,0,0.5057318056128304,0
BORDER_911,rain,395003,2022-08-07 23:00:00,77,45.965283158184405,25.0,-2.1665980912664953,6.769506971287356,0,0,0.7129356522335115,1
FAKE_1273,rain,560001,2022-07-24 01:00:00,22,38.521025824116634,25.0,-9.374183312635001,5.263790920397514,0,0,0.24571313443085463,0
FAKE_2073,rain,302001,2022-08-26 09:00:00,13,63.97247111198251,25.0,-7.727435583383674,9.608283724704782,0,0,0.23241710939309562,0
FAKE_1450,rain,500001,2022-07-31 10:00:00,7,56.194994158608424,25.0,-9.26167886887809,17.927948271422988,0,0,0.6540418435299271,0
FAKE_3234,rain,226001,2022-10-13 18:00:00,31,87.44106087082349,25.0,-5.261996781610485,15.476459966577384,0,0,0.541238189524659,0
FAKE_1669,rain,395003,2022-08-09 13:00:00,28,67.95891208109273,25.0,5.50777275665607,5.071053841599311,0,0,0.6654490721857147,0
BORDER_2717,rain,700001,2022-10-22 05:00:00,60,23.23364785397852,25.0,0.4165954916536556,6.878098954650077,0,0,0.5673914842189346,1
FAKE_3536,rain,700001,2022-10-26 08:00:00,21,84.8263690290261,25.0,14.000180001158792,23.177318230605902,0,0,0.6964293875923149,0
BORDER_520,rain,800001,2022-07-22 16:00:00,78,42.52919779001317,25.0,2.108566734662811,4.649642842403482,0,0,0.7964231963384283,1
FAKE_3336,rain,700001,2022-10-18 00:00:00,30,54.28507239329535,25.0,-14.245376105306605,24.08849337728466,0,0,0.6575706181274933,0
FAKE_2673,rain,452001,2022-09-20 09:00:00,16,40.98341374646212,25.0,5.047783116245235,9.561908277480732,0,0,0.5067287133156285,0
BORDER_557,rain,226001,2022-07-24 05:00:00,62,47.51072757133512,25.0,2.55192259625745,10.51849927236929,0,0,0.5889096924040641,1
FAKE_2365,rain,462001,2022-09-07 13:00:00,36,36.333532435509184,25.0,1.5533785117708625,11.851355185738694,0,0,0.23259640109234553,0
