date,rain_mm,temp_c,wind_speed_kmph,pressure_hpa,flood_alert_flag,storm_alert_flag,heatwave_flag,high_wind_flag,disruption_happened,rain_3day_avg,rain_7day_avg,temp_3day_avg,humidity_pct,pincode,city,state,curfew_alert_flag
2019-01-01,0.0,20.1,10.2,1020.0,0,0,0,0,0,0.0,0.0,0.0,68.96013528974274,110001,Delhi,DL,0
2019-01-02,0.0,21.0,10.5,1020.2,0,0,0,0,0,0.0,0.0,0.0,80.40838710781267,110001,Delhi,DL,0
2019-01-03,0.0,20.6,14.9,1021.2,0,0,0,0,0,0.0,0.0,20.566666666666666,50.95563303191375,110001,Delhi,DL,0
2019-01-04,0.0,18.8,12.4,1020.0,0,0,0,0,0,0.0,0.0,20.133333333333336,80.38560282713803,110001,Delhi,DL,0
2019-01-05,0.0,20.5,18.1,1018.3,0,0,0,0,0,0.0,0.0,19.96666666666667,58.58615406625324,110001,Delhi,DL,0
2019-01-06,2.3,18.1,16.6,1017.9,0,0,0,0,0,0.7666666666666666,0.0,19.133333333333336,83.26351417786105,110001,Delhi,DL,0
2019-01-07,0.0,19.0,10.5,1019.6,0,0,0,0,0,0.7666666666666666,0.32857142857142857,19.200000000000003,59.99262462950384,110001,Delhi,DL,0
2019-01-08,0.0,18.3,14.6,1018.0,0,0,0,0,0,0.7666666666666666,0.32857142857142857,18.46666666666667,43.35930621234362,110001,Delhi,DL,0
2019-01-09,0.0,19.3,18.0,1017.1,0,0,0,0,0,0.0,0.32857142857142857,18.866666666666664,41.80602894267479,110001,Delhi,DL,0
2019-01-10,0.0,19.4,11.4,1016.9,0,0,0,0,0,0.0,0.32857142857142857,19.0,63.135902604214714,110001,Delhi,DL,0
2019-01-11,0.0,19.4,10.8,1018.4,0,0,0,0,0,0.0,0.32857142857142857,19.366666666666664,76.67508234246654,110001,Delhi,DL,0
2019-01-12,0.0,19.8,10.2,1017.4,0,0,0,0,0,0.0,0.32857142857142857,19.533333333333335,52.43011468896676,110001,Delhi,DL,0
2019-01-13,0.0,20.9,13.2,1019.4,0,0,0,0,0,0.0,0.0,20.033333333333335,74.52289476448635,110001,Delhi,DL,0
2019-01-14,0.0,18.1,20.9,1019.7,0,0,0,0,0,0.0,0.0,19.6,66.91159063812047,110001,Delhi,DL,0
2019-01-15,0.0,18.7,17.1,1018.4,0,0,0,0,0,0.0,0.0,19.233333333333334,73.35114391402152,110001,Delhi,DL,0
2019-01-16,0.0,18.9,9.4,1018.2,0,0,0,0,0,0.0,0.0,18.566666666666666,45.10206848471195,110001,Delhi,DL,0
2019-01-17,0.0,20.0,9.7,1017.1,0,0,0,0,0,0.0,0.0,19.2,77.64153082276373,110001,Delhi,DL,0
2019-01-18,0.0,20.3,10.8,1017.3,0,0,0,0,0,0.0,0.0,19.73333333333333,77.99685355655859,110001,Delhi,DL,0
2019-01-19,0.0,22.6,9.7,1017.1,0,0,0,0,0,0.0,0.0,20.966666666666665,40.34290698720631,110001,Delhi,DL,0
2019-01-20,0.0,24.8,9.0,1015.9,0,0,0,0,0,0.0,0.0,22.566666666666666,60.88657893890954,110001,Delhi,DL,0
2019-01-21,6.5,20.8,23.2,1013.3,0,0,0,0,0,2.1666666666666665,0.9285714285714286,22.733333333333334,66.05579492527188,110001,Delhi,DL,0
2019-01-22,16.9,19.5,24.8,1013.6,0,0,0,0,0,7.8,3.3428571428571425,21.7,52.365523602659465,110001,Delhi,DL,0
2019-01-23,0.1,18.5,9.2,1017.4,0,0,0,0,0,7.833333333333333,3.357142857142857,19.6,79.78333794629879,110001,Delhi,DL,0
2019-01-24,0.3,19.5,13.0,1019.6,0,0,0,0,0,5.766666666666666,3.3999999999999995,19.166666666666668,67.75464441152086,110001,Delhi,DL,0
2019-01-25,0.1,17.0,11.4,1019.5,0,0,0,0,0,0.16666666666666666,3.414285714285714,18.333333333333332,43.413807630630174,110001,Delhi,DL,0
